"ID","Ticket status","Organization","Ticket Score","Ticket Criticality","Sentiment","Subject","Requested","Group","Priority","Associated Jira"
"1054618","Requires more info","D360","37","Critical","Slightly Negative","Customers Able to Exceed Daily POS/Online Limits","2025-11-02 17:52","[L2] Advanced Support","High","Yes"
"1037878","Resolved - Awaiting Feedback","GoTyme","37","Critical","Slightly Positive","Outstanding Card Transactions from 2022 due to Missing transactions in DSR","2025-10-07 14:41","[L2] Advanced Support","High","'-"
"1052762","On-hold","Old Mutual Bank / Olympus","36","Critical","Neutral","Mastercard - Identified reports required for Finance Settlement processes_file format","2025-10-29 17:11","[L2] Advanced Support","High","Yes"
"1048061","Escalated Internally","C24","36","Critical","Neutral","Card files missing","2025-10-22 10:46","[L2] Advanced Support","High","Yes"
"1009314","Escalated Internally","Orange Botswana","34","Critical","","OM visa card failure (74323798)","2025-08-18 08:34","[L1] CS - VoucherEngine","Urgent","Yes"
"1048100","Resolved - Awaiting Feedback","MOX","32","Critical","Slightly Negative","Refund not mapped to original purchase","2025-10-22 11:33","[L2] Advanced Support","High","Yes"
"1033312","Awaiting RCA","Wio","32","Critical","Neutral","Disconnection that caused some transactions to declined","2025-10-01 17:44","[L1] CS - Banking.Live","Urgent","Yes"
"1019960","Awaiting RCA","D360","32","Critical","","Mada Transactions declined","2025-09-08 01:43","[L1] CS - Banking.Live","Urgent","'-"
"1009074","Requires more info","D360","32","Critical","Neutral","we need access to the edit package portal","2025-08-17 09:26","[L2] Advanced Support","Urgent","'-"
"1006360","Escalated to AM / TAM","Orange Botswana","32","Critical","","Orange Money Visa cards not working","2025-08-12 09:00","[L1] CS - VoucherEngine","Urgent","Yes"
"1005950","Awaiting RCA","TymeBank SA","32","Critical","","Card creation impacted","2025-08-11 14:07","[L1] CS - Banking.Live","Urgent","Yes"
"1005721","Escalated Third-Party","C24","31","Critical","Slightly Negative","Renewed card showing ""Add to wallet""","2025-08-11 09:56","MeaWallet Support","Normal","'-"
"933756","Escalated Internally","GoTyme","31","Critical","Slightly Positive","Missing Transaction in DSR","2025-03-14 11:27","[L2] Advanced Support","Normal","Yes"
"1077837","Open","GoTyme","30","Critical","Slightly Negative","MOF Additional TransactionType | 121825","2025-12-18 07:59","[L1] CS - VoucherEngine","High","'-"
"1055558","Escalated Internally","GoTyme","30","Critical","","[DSR ISSUE] Detailed Settlement Report Missing transaction lines value Oct 30 2025","2025-11-04 05:26","[L2] Advanced Support","Urgent","Yes"
"1022882","Escalated to AM / TAM","Wio","30","Critical","","Re: Discuss ATM Transaction Issues and settlement","2025-09-12 17:32","[L1] CS - Banking.Live","High","Yes"
"1054521","Awaiting RCA","Wio","29","Critical","Neutral","Mastercard Tansaction Processing Issue November 2nd 2025","2025-11-02 08:47","[L1] CS - Banking.Live","Urgent","'-"
"1035808","Awaiting RCA","D360","29","Critical","","Some transactions were declined due to FAST Active Response failures","2025-10-04 19:31","[L1] CS - Banking.Live","Urgent","'-"
"1032246","Escalated Internally","GoTyme","29","Critical","","Incomple Reversals-0 DOMESTIC Transactions in DSR Sep 27 Report to present","2025-09-30 11:51","[L2] Advanced Support","High","Yes"
"1031495","Escalated to AM / TAM","Wio","29","Critical","","Need to decrypt VISA tokenization encrypted payload","2025-09-29 09:21","[L2] Advanced Support","Urgent","Yes"
